CATEGORY,START,STOP,MILES,DURATION in minutes
Business,Old City,Parkway Museums,2.9,24.0
Business,Old City,Hog Island,11.2,11.0
Business,Morrisville,Cary,8.2,29.0
Business,Cary,Morrisville,3.0,7.0
Business,Morrisville,Cary,2.5,7.0
Business,Whitebridge,Savon Height,3.6,8.0
Business,Savon Height,Whitebridge,3.6,12.0
Business,Whitebridge,Kildaire Farms,4.5,4.0
Business,Savon Height,Kilarney Woods,1.2,6.0
Business,Kilarney Woods,Kildaire Farms,1.7,3.0
Business,Kilarney Woods,Whitebridge,4.7,6.0
Business,Cary,Morrisville,6.1,14.0
Business,Morrisville,Cary,11.3,29.0
Business,Cary,Raleigh,14.9,47.0
Business,Raleigh,Cary,14.0,37.0
Business,Westpark Place,Whitebridge,1.8,9.0
Business,Cary,Morrisville,6.7,28.0
Business,Morrisville,Cary,9.6,29.0
Business,Cary,Durham,10.4,20.0
Business,Durham,Cary,9.9,30.0
Business,Cary,Morrisville,6.0,23.0
Business,Townes at Everett Crossing,Chessington,3.3,15.0
Business,Morrisville,Cary,3.1,12.0
Business,Huntington Woods,Weston,1.7,6.0
Business,Morrisville,Cary,4.0,19.0
Business,Whitebridge,Savon Height,7.8,30.0
Business,Cary,Morrisville,7.8,16.0
Business,Weston,Weston,3.8,11.0
Business,Morrisville,Cary,2.5,9.0
Business,Cary,Durham,9.9,12.0
Business,Durham,Cary,9.9,-1424.0
Business,Whitebridge,Hazelwood,3.0,9.0
Business,Hazelwood,Whitebridge,2.4,8.0
Business,Cary,Apex,5.7,14.0
Business,Apex,Cary,7.2,29.0
Business,Cary,Durham,10.4,19.0
Business,Durham,Cary,9.9,14.0
Business,Cary,Durham,10.4,18.0
Business,Durham,Cary,9.9,-1417.0
Business,Cary,Morrisville,8.7,30.0
Business,Jamaica,New York,22.3,57.0
Business,Seaport,Gramercy-Flatiron,3.3,17.0
Business,Medical Centre,Tudor City,0.7,6.0
Business,Rose Hill,Soho,2.5,16.0
Business,Soho,Tribeca,0.5,2.0
Business,Tribeca,Financial District,0.9,6.0
Business,Financial District,Kips Bay,4.8,14.0
Business,New York,Jamaica,16.3,69.0
Business,Cary,Durham,10.4,17.0
Business,Durham,Cary,9.9,-1432.0
Business,Cary,Morrisville,3.7,8.0
Business,Morrisville,Cary,4.6,5.0
Business,Westpark Place,Whitebridge,1.7,6.0
Business,Cary,Durham,10.4,19.0
Business,Durham,Cary,9.9,-1414.0
Business,Cary,Morrisville,2.5,3.0
Business,Morrisville,Cary,4.3,11.0
Business,Parkway,Whitebridge,2.8,21.0
Business,Cary,Morrisville,8.4,19.0
Business,Oakland,Emeryville,13.2,29.0
Business,Emeryville,Berkeley,3.9,39.0
Business,Berkeley,Oakland,5.1,29.0
Business,Emeryville,San Francisco,9.8,18.0
Business,San Francisco,Emeryville,11.6,30.0
Business,Emeryville,Oakland,5.1,9.0
Business,Downtown,Bay Farm Island,9.3,30.0
Business,Kenner,New Orleans,12.4,20.0
Business,CBD,Lower Garden District,1.9,8.0
Business,Lower Garden District,Lakeview,6.4,25.0
Personal,Lakeview,Storyville,5.5,20.0
Business,Storyville,Faubourg Marigny,1.5,6.0
Business,New Orleans,Metairie,14.5,54.0
Business,Metairie,Kenner,2.7,4.0
Business,Kenner,New Orleans,15.0,24.0
Business,New Orleans,Kenner,12.9,17.0
Business,Kenner,New Orleans,13.6,13.0
Business,New Orleans,Kenner,12.2,33.0
Business,Morrisville,Cary,8.7,22.0
Business,Cary,Raleigh,6.0,11.0
Business,Raleigh,Cary,5.9,9.0
Business,Cary,Raleigh,19.3,29.0
Business,Raleigh,Cary,16.6,51.0
Business,Whitebridge,Waverly Place,7.1,16.0
Business,Waverly Place,Macgregor Downs,2.1,7.0
